user_id,place_id,rating,user_prefs
0,519,4,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,736,4,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,522,4,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,515,4,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,157,4,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,514,4,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,20,4,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,197,4,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,571,4,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,888,4,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,391,2,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,827,2,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,608,1,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,864,2,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,254,1,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,447,2,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,423,2,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,117,2,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,838,2,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
0,115,1,"[""Walking Trail"", ""UNESCO Site"", ""Seafood""]"
1,565,4,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,542,4,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,289,4,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,66,4,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,46,4,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,792,4,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,529,4,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,203,4,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,438,4,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,284,4,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,538,2,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,606,1,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,269,2,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,761,2,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,297,1,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,67,2,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,323,1,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,622,2,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,465,1,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
1,173,1,"[""Mountain Scenery"", ""Ethnic Heritage"", ""Solemn"", ""Canals""]"
2,477,4,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,217,4,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,38,4,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,757,4,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,543,4,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,896,4,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,407,4,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,622,4,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,240,4,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,266,4,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,231,2,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,185,2,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,138,2,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,439,2,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,520,2,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,346,2,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,151,1,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,455,2,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,539,2,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
2,512,2,"[""War History"", ""Woodwork"", ""Pedestrian Street"", ""UNESCO World Heritage"", ""Tunnel""]"
3,119,4,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,133,4,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,55,4,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,189,4,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,423,4,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,827,4,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,187,4,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,566,4,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,708,4,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,741,4,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,18,2,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,298,2,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,625,2,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,382,2,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,440,2,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,192,2,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,351,2,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,515,1,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,2,2,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
3,439,1,"[""Rural Village"", ""Fruit Garden"", ""National Park"", ""Tombs"", ""International Hub"", ""Lotus Fields""]"
4,360,4,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,206,4,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,357,4,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,920,4,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,574,4,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,379,4,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,624,4,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,900,4,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,400,4,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,187,4,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,157,2,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,165,2,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,838,1,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,271,2,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,562,1,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,648,2,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,254,1,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,519,2,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,178,2,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
4,835,2,"[""Traditional Art"", ""Commercial"", ""Ecotourism""]"
5,145,4,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,549,4,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,744,4,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,176,1,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,524,2,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,42,2,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,564,1,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,469,1,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,372,2,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,169,2,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,857,2,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,905,2,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
5,143,2,"[""Zen"", ""Coastal Views"", ""Massacre Site""]"
6,370,4,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,234,4,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,929,4,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,198,4,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,812,4,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,639,4,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,666,4,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,852,4,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,651,4,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,882,4,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,911,1,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,133,2,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,443,2,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,24,1,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,376,1,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,431,1,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,816,1,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,196,2,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,741,2,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
6,764,2,"[""Spiritual Experience"", ""River"", ""Chinese Heritage""]"
7,146,4,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,16,4,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,502,4,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,490,4,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,181,4,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,403,4,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,325,4,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,90,4,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,518,4,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,694,2,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,597,1,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,575,2,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,113,2,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,912,2,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,850,2,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,552,2,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,747,2,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,893,1,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
7,612,2,"[""Religious Sites"", ""Cycling"", ""Jungle""]"
8,30,4,"[""Royal"", ""Monument"", ""Fireworks"", ""Ancient Artifact"", ""Preservation""]"
8,261,4,"[""Royal"", ""Monument"", ""Fireworks"", ""Ancient Artifact"", ""Preservation""]"
